Date,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Latitude,Longitude,Death,Total Confirmed cases
1/30/2020,Kerala,1,0,0,10.8505,76.2711,0,1
1/31/2020,Kerala,1,0,0,10.8505,76.2711,0,1
2/1/2020,Kerala,2,0,0,10.8505,76.2711,0,2
2/2/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/3/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/4/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/5/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/6/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/7/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/8/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/9/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/10/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/11/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/12/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/13/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/14/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/15/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/16/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/17/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/18/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/19/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/20/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/21/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/22/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/23/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/24/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/25/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/26/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/27/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/28/2020,Kerala,3,0,0,10.8505,76.2711,0,3
2/29/2020,Kerala,3,0,0,10.8505,76.2711,0,3
3/1/2020,Kerala,3,0,0,10.8505,76.2711,0,3
3/2/2020,Delhi,1,0,0,28.7041,77.1025,0,1
3/2/2020,Kerala,3,0,0,10.8505,76.2711,0,3
3/2/2020,Telengana,1,0,0,18.1124,79.0193,0,1
3/3/2020,Delhi,1,0,0,28.7041,77.1025,0,1
3/3/2020,Kerala,3,0,3,10.8505,76.2711,0,3
3/3/2020,Rajasthan,0,0,0,27.0238,74.2179,0,0
3/3/2020,Telengana,1,0,0,18.1124,79.0193,0,1
3/4/2020,Delhi,1,0,0,28.7041,77.1025,0,1
3/4/2020,Haryana,0,14,0,29.0588,76.0856,0,14
3/4/2020,Kerala,3,0,3,10.8505,76.2711,0,3
3/4/2020,Rajasthan,1,0,0,27.0238,74.2179,0,1
3/4/2020,Telengana,1,0,0,18.1124,79.0193,0,1
3/4/2020,Uttar Pradesh,6,0,0,26.8467,80.9462,0,6
3/5/2020,Delhi,2,0,0,28.7041,77.1025,0,2
3/5/2020,Haryana,0,14,0,29.0588,76.0856,0,14
3/5/2020,Kerala,3,0,3,10.8505,76.2711,0,3
3/5/2020,Rajasthan,1,0,0,27.0238,74.2179,0,1
3/5/2020,Telengana,1,0,0,18.1124,79.0193,0,1
3/5/2020,Uttar Pradesh,7,0,0,26.8467,80.9462,0,7
3/6/2020,Delhi,3,0,0,28.7041,77.1025,0,3
3/6/2020,Haryana,0,14,0,29.0588,76.0856,0,14
3/6/2020,Kerala,3,0,3,10.8505,76.2711,0,3
3/6/2020,Rajasthan,1,0,0,27.0238,74.2179,0,1
3/6/2020,Telengana,1,0,0,18.1124,79.0193,0,1
3/6/2020,Uttar Pradesh,7,0,0,26.8467,80.9462,0,7
3/7/2020,Delhi,3,0,0,28.7041,77.1025,0,3
3/7/2020,Haryana,0,14,0,29.0588,76.0856,0,14
3/7/2020,Kerala,3,0,3,10.8505,76.2711,0,3
3/7/2020,Rajasthan,1,0,0,27.0238,74.2179,0,1
3/7/2020,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
3/7/2020,Telengana,1,0,0,18.1124,79.0193,0,1
3/7/2020,Union Territory of Ladakh,2,0,0,34.2996,78.2932,0,2
3/7/2020,Uttar Pradesh,7,0,0,26.8467,80.9462,0,7
3/8/2020,Delhi,3,0,0,28.7041,77.1025,0,3
3/8/2020,Haryana,0,14,0,29.0588,76.0856,0,14
3/8/2020,Kerala,8,0,3,10.8505,76.2711,0,8
3/8/2020,Rajasthan,1,0,0,27.0238,74.2179,0,1
3/8/2020,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
3/8/2020,Telengana,1,0,0,18.1124,79.0193,0,1
3/8/2020,Union Territory of Ladakh,2,0,0,34.2996,78.2932,0,2
3/8/2020,Uttar Pradesh,7,0,0,26.8467,80.9462,0,7
3/9/2020,Delhi,4,0,0,28.7041,77.1025,0,4
3/9/2020,Haryana,0,14,0,29.0588,76.0856,0,14
3/9/2020,Karnataka,1,0,0,15.3173,75.7139,0,1
3/9/2020,Kerala,9,0,3,10.8505,76.2711,0,9
3/9/2020,Maharashtra,2,0,0,19.7515,75.7139,0,2
3/9/2020,Punjab,1,0,0,31.1471,75.3412,0,1
3/9/2020,Rajasthan,1,0,0,27.0238,74.2179,0,1
3/9/2020,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
3/9/2020,Telengana,1,0,0,18.1124,79.0193,0,1
3/9/2020,Union Territory of Jammu and Kashmir,1,0,0,33.7782,76.5762,0,1
3/9/2020,Union Territory of Ladakh,2,0,0,34.2996,78.2932,0,2
3/9/2020,Uttar Pradesh,7,0,0,26.8467,80.9462,0,7
3/10/2020,Delhi,4,0,0,28.7041,77.1025,0,4
3/10/2020,Haryana,0,14,0,29.0588,76.0856,0,14
3/10/2020,Karnataka,4,0,0,15.3173,75.7139,0,4
3/10/2020,Kerala,15,0,3,10.8505,76.2711,0,15
3/10/2020,Maharashtra,5,0,0,19.7515,75.7139,0,5
3/10/2020,Punjab,1,0,0,31.1471,75.3412,0,1
3/10/2020,Rajasthan,1,0,0,27.0238,74.2179,0,1
